                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     57,               0.050528,               0.016178,                0.01653,             0.00065053,                0.48046,                0.32432,                0.38876,                0.14971,                0.48046,                0.32432,                0.38876,                0.14103,               0.053934,               0.010766,                0.01489,             0.00058674,               0.009496,               0.009496,               0.009496
                     58,               0.051568,               0.016116,                0.01587,              0.0007668,                0.34537,                0.37838,                0.31636,                0.11783,                0.37043,                0.40541,                0.36035,                0.12722,               0.055548,                0.01123,               0.013972,             0.00051464,               0.009487,               0.009487,               0.009487
                     59,               0.051712,               0.017066,               0.017544,             0.00057473,                0.66045,                0.43243,                0.48462,                0.16642,                0.59965,                0.40541,                0.44069,                0.15306,               0.053935,               0.013795,               0.012604,             0.00056992,               0.009478,               0.009478,               0.009478
                     60,               0.051147,               0.017319,               0.019045,              0.0006904,                 0.5967,                0.45946,                0.44436,                 0.1723,                 0.5967,                0.45946,                0.42891,                0.15425,               0.049957,                 0.0135,               0.013707,             0.00056774,               0.009469,               0.009469,               0.009469
                     61,               0.049675,               0.016616,               0.016618,             0.00061145,                0.53589,                0.48649,                0.54401,                0.20073,                0.53589,                0.48649,                 0.5484,                0.20342,               0.049726,               0.011976,               0.013801,             0.00055223,                0.00946,                0.00946,                0.00946
                     62,               0.048932,               0.016525,                0.01579,             0.00061752,                0.42931,                0.36618,                0.35099,                 0.1623,                0.42931,                0.36618,                0.34058,                0.16197,               0.052075,                0.01381,               0.014625,              0.0005405,               0.009451,               0.009451,               0.009451
                     63,               0.049036,               0.018289,                0.01652,             0.00058862,                0.45362,                0.21622,                0.17584,               0.062698,                0.54331,                0.24324,                0.19885,               0.063389,               0.059324,               0.012583,               0.017271,             0.00042458,               0.009442,               0.009442,               0.009442
                     64,               0.049273,               0.017027,               0.018199,             0.00065183,                0.24168,                0.13514,               0.099157,               0.022856,                0.24168,                0.13514,                0.12489,               0.032033,               0.067942,               0.012322,               0.016847,             0.00045307,               0.009433,               0.009433,               0.009433
                     65,               0.050303,               0.016738,               0.017137,             0.00065428,                0.31035,                0.21622,                0.16798,               0.068878,                0.27192,                0.16216,                0.15303,                0.05789,               0.058419,               0.012077,               0.017934,             0.00046635,               0.009424,               0.009424,               0.009424
                     66,               0.052776,               0.016036,               0.017404,             0.00055778,                0.33458,                0.13514,                 0.1039,               0.048586,                0.41196,                0.16216,                0.13334,               0.044016,               0.069404,                0.11673,               0.017976,               0.066869,               0.009415,               0.009415,               0.009415
                     67,                0.04973,               0.015914,               0.017447,             0.00057635,                0.19353,                0.24324,                0.11689,               0.037644,                0.21481,                0.21622,                0.10851,                0.03413,               0.065136,               0.019022,               0.015878,              0.0027938,               0.009406,               0.009406,               0.009406
                     68,               0.049619,               0.016514,               0.016869,             0.00055681,                0.89422,                0.10811,                0.16217,               0.057349,                0.69481,               0.081081,                0.11773,               0.053504,               0.079106,                0.16111,               0.015899,                0.15451,               0.009397,               0.009397,               0.009397
                     69,               0.049427,               0.017715,               0.016712,              0.0006201,                0.93434,                0.10811,                 0.1265,               0.041913,                0.93434,                0.10811,                0.11814,                0.04478,               0.086628,                0.10764,               0.015106,                0.15145,               0.009388,               0.009388,               0.009388
                     70,               0.048411,               0.015893,               0.017085,             0.00084128,                0.72139,                 0.2973,                0.35463,                0.14284,                0.72139,                 0.2973,                0.34917,                0.13986,               0.059515,               0.011688,               0.012833,             0.00059509,               0.009379,               0.009379,               0.009379
                     71,               0.049565,               0.016665,               0.017254,             0.00062537,                 0.2113,                0.24324,                0.17427,               0.076369,                0.27112,                0.21622,                0.18835,               0.079823,               0.063821,               0.029673,               0.015305,               0.016797,                0.00937,                0.00937,                0.00937
                     72,               0.048417,               0.015684,               0.015919,             0.00059095,                0.16356,                0.13514,               0.048759,               0.015448,                0.16356,                0.13514,               0.048903,                0.01341,               0.083941,               0.023902,               0.014962,               0.031011,               0.009361,               0.009361,               0.009361
                     73,                0.04746,               0.017017,               0.015778,              0.0006279,                0.17544,                0.16216,                0.10849,               0.036693,                0.21812,                0.16216,                0.10104,               0.035423,               0.072025,               0.016664,               0.014958,                0.01064,               0.009352,               0.009352,               0.009352
                     74,               0.046838,               0.018334,               0.016845,             0.00063457,                0.19211,                0.32432,                0.16366,               0.055167,                0.18805,                0.27027,                0.18653,               0.060724,               0.057729,               0.013619,               0.016105,             0.00072945,               0.009343,               0.009343,               0.009343
                     75,               0.049038,               0.017197,               0.015925,              0.0005618,                0.45845,                0.27472,                0.26712,                0.12025,                0.45845,                0.27472,                0.26712,                0.12432,               0.058941,               0.013243,                0.01494,             0.00071434,               0.009334,               0.009334,               0.009334
                     76,               0.045867,               0.016653,               0.016566,             0.00056395,                0.61268,                0.16216,                0.13974,               0.037553,                0.72121,                0.18919,                0.18213,               0.044639,               0.076059,               0.020508,               0.014062,              0.0072995,               0.009325,               0.009325,               0.009325
                     77,               0.048151,               0.014885,               0.015245,             0.00057572,                0.06406,               0.050066,               0.027174,              0.0067564,               0.055334,               0.042974,               0.032144,              0.0051961,               0.077349,               0.021804,                0.01887,               0.016344,               0.009316,               0.009316,               0.009316
                     78,               0.047732,               0.016624,               0.016756,             0.00063261,                0.10592,               0.054054,                0.10069,               0.022931,               0.052961,               0.027027,               0.079098,               0.014293,               0.073519,                0.02057,                0.01823,               0.013605,               0.009307,               0.009307,               0.009307
                     79,               0.047235,               0.017135,                 0.0163,             0.00055048,                0.21931,                0.13672,                0.11648,               0.034815,                0.14039,                0.16216,                0.10572,               0.029721,               0.078948,               0.015566,               0.012371,              0.0080722,               0.009298,               0.009298,               0.009298
                     80,               0.047071,               0.016393,               0.016824,             0.00048027,                 0.4601,                0.10811,                0.10236,               0.044471,                0.57744,                0.13514,                0.13434,               0.037225,               0.093779,                0.11125,                0.01007,                0.11564,               0.009289,               0.009289,               0.009289
