                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     72,               0.030308,               0.020968,               0.010367,                      0,                0.82445,                   0.75,                0.74931,                0.44472,                0.82445,                   0.75,                0.78471,                0.51216,               0.034047,               0.021837,              0.0076357,                      0,               0.009787,               0.009787,               0.009787
                     73,               0.030896,               0.019394,              0.0094573,                      0,                0.82604,                   0.75,                0.77721,                0.47816,                0.82604,                   0.75,                0.78821,                0.54077,               0.030707,               0.021344,              0.0067438,                      0,               0.009784,               0.009784,               0.009784
                     74,               0.031203,                0.02425,               0.011768,                      0,                0.93972,                0.78024,                0.80062,                 0.5416,                0.93972,                0.78024,                0.80062,                0.52665,               0.031069,               0.023344,              0.0064467,                      0,               0.009781,               0.009781,               0.009781
                     75,                0.03445,                0.02308,               0.011108,                      0,                0.93632,                0.73583,                0.79368,                0.52537,                0.93632,                0.73583,                0.79368,                0.54882,               0.032888,               0.021401,              0.0074488,                      0,               0.009778,               0.009778,               0.009778
                     76,               0.031782,               0.022813,               0.011368,                      0,                0.97804,                   0.75,                0.82698,                0.55345,                0.97804,                   0.75,                0.81751,                0.57287,               0.028716,               0.020217,              0.0072271,                      0,               0.009775,               0.009775,               0.009775
                     77,               0.030906,               0.022479,              0.0099111,                      0,                0.83797,                    0.8,                0.77569,                 0.4887,                0.83797,                    0.8,                0.77569,                0.53145,               0.031135,                  0.022,              0.0077452,                      0,               0.009772,               0.009772,               0.009772
                     78,               0.028839,               0.022305,              0.0099341,                      0,                0.83174,                0.74189,                0.74491,                0.51508,                0.83174,                0.74189,                0.74491,                0.56302,                 0.0302,               0.022587,              0.0086531,                      0,               0.009769,               0.009769,               0.009769
                     79,               0.029603,               0.021842,               0.010332,                      0,                0.89976,                    0.7,                0.76602,                0.56315,                0.89976,                    0.7,                0.76724,                0.60528,               0.029338,               0.017349,              0.0068666,                      0,               0.009766,               0.009766,               0.009766
                     80,               0.030863,                0.02153,               0.010083,                      0,                 0.8356,                   0.85,                0.84288,                 0.6532,                 0.8356,                   0.85,                0.84288,                0.62716,               0.026732,                0.01833,              0.0057858,                      0,               0.009763,               0.009763,               0.009763
                     81,                0.03177,               0.023734,                0.01032,                      0,                0.88148,                    0.8,                0.83652,                 0.5414,                0.88148,                    0.8,                0.83865,                 0.6304,               0.028497,               0.017648,              0.0061296,                      0,                0.00976,                0.00976,                0.00976
                     82,                0.03206,               0.024163,               0.012042,                      0,                0.94336,                0.83344,                  0.837,                0.56585,                0.94336,                0.83344,                0.82839,                0.62306,               0.029393,               0.020431,              0.0057084,                      0,               0.009757,               0.009757,               0.009757
                     83,               0.033313,                0.02425,               0.011495,                      0,                0.88799,                0.79312,                0.82844,                0.55653,                0.88799,                0.79312,                0.80429,                0.52442,               0.028263,               0.023659,              0.0063927,                      0,               0.009754,               0.009754,               0.009754
                     84,               0.030433,               0.021642,               0.010281,                      0,                0.92207,                    0.8,                0.81787,                0.51926,                 0.8767,                0.71159,                0.74951,                 0.5553,               0.028522,               0.026003,               0.006374,                      0,               0.009751,               0.009751,               0.009751
                     85,               0.032628,               0.021711,               0.010136,                      0,                0.93077,                    0.7,                0.81277,                0.56228,                0.82153,                   0.75,                0.76252,                0.57965,               0.025256,               0.024077,              0.0067011,                      0,               0.009748,               0.009748,               0.009748
                     86,               0.030914,               0.021572,               0.010386,                      0,                0.82479,                    0.8,                  0.822,                0.53009,                0.77276,                   0.75,                0.73992,                0.51836,               0.027544,               0.025032,              0.0067158,                      0,               0.009745,               0.009745,               0.009745
